code,voltage
0088,629.7795275590552
0089,641.8346456692915
008a,643.8582677165357
008b,646.732283464567
008c,652.2992125984255
008d,657.6929133858268
008e,665.5748031496065
008f,668.96062992126
0090,673.708661417323
0091,684.4251968503937
0092,689.5590551181102
0093,685.2047244094489
0094,693.3385826771655
0095,704.2834645669292
0096,706.1023622047245
0097,720.511811023622
0098,721.708661417323
0099,723.228346456693
009a,729.6141732283464
009b,731.9133858267717
009c,738.3779527559055
009d,746.3779527559055
009e,747.4409448818897
009f,754.9842519685039
00a0,758.4015748031495
00a1,752.7874015748031
00a2,765.779527559055
00a3,772.4566929133857
00a4,776.3228346456692
00a5,785.0629921259841
00a6,785.1968503937006
00a7,788.8661417322833
00a8,794.8425196850393
00a9,804.0629921259842
00aa,807.5039370078739
00ab,812.9921259842517
00ac,812.1259842519684
00ad,823.3858267716532
00ae,824.1496062992123
00af,832.787401574803
00b0,834.3228346456691
00b1,835.2677165354328
00b2,852.5275590551179
00b3,849.8897637795274
00b4,853.1968503937006
00b5,859.7401574803148
00b6,869.2519685039367
00b7,867.291338582677
00b8,874.811023622047
00b9,883.0629921259839
00ba,881.7086614173226
00bb,890.7165354330706
00bc,890.8582677165351
00bd,902.7322834645668
00be,905.1889763779527
00bf,910.6850393700786
00c0,914.3937007874014
00c1,919.2440944881888
00c2,930.1338582677163
00c3,935.6771653543304
00c4,934.9212598425195
00c5,939.8582677165354
00c6,953.0866141732283
00c7,949.5669291338581
00c8,954.7244094488187
00c9,961.5511811023621
00ca,964.4330708661416
00cb,968.7007874015746
00cc,970.9370078740158
00cd,983.8976377952755
00ce,984.3464566929133
00cf,989.0944881889762
00d0,999.251968503937
00d1,995.488188976378
00d2,999.3700787401574
00d3,1007.7244094488188
00d4,1014.1968503937007
00d5,1021.6929133858267
00d6,1029.6929133858266
00d7,1029.511811023622
00d8,1031.5984251968505
00d9,1044.1732283464569
00da,1041.6850393700788
00db,1045.8267716535433
00dc,1050.0551181102364
00dd,1057.1889763779527
00de,1067.3149606299214
00df,1067.740157480315
00e0,1070.3228346456694
00e1,1083.976377952756
00e2,1090.6062992125985
00e3,1092.2598425196852
00e4,1096.1732283464569
00e5,1099.007874015748
00e6,1108.0551181102364
00e7,1109.204724409449
00e8,1119.0393700787404
00e9,1122.8031496062995
00ea,1125.8897637795276
00eb,1130.6929133858268
00ec,1135.2598425196852
00ed,1140.1653543307089
00ee,1148.5275590551182
00ef,1151.669291338583
00f0,1155.0000000000002
00f1,1159.5748031496064
00f2,1161.96062992126
00f3,1172.8031496062995
00f4,1179.2992125984256
00f5,1181.0157480314963
00f6,1185.212598425197
00f7,1192.1889763779532
00f8,1198.4645669291344
00f9,1204.5196850393702
00fa,1209.4488188976381
00fb,1211.3464566929135
00fc,1223.2598425196854
00fd,1222.228346456693
00fe,1224.7716535433074
00ff,1232.0629921259847
0100,1234.5433070866145
0101,1246.669291338583
0102,1245.897637795276
0103,1250.661417322835
0104,1255.488188976378
0105,1259.8346456692916
0106,1262.5354330708662
0107,1270.88188976378
0108,1272.5905511811025
0109,1281.7716535433074
010a,1285.204724409449
010b,1289.3543307086616
010c,1295.3622047244096
010d,1297.669291338583
010e,1303.8346456692916
010f,1311.2677165354335
0110,1313.4960629921263
0111,1324.023622047244
0112,1321.5984251968507
0113,1333.9291338582677
0114,1333.393700787402
0115,1342.8818897637798
0116,1340.5354330708665
0117,1346.488188976378
0118,1353.952755905512
0119,1363.0708661417325
011a,1366.5826771653544
011b,1364.9291338582677
011c,1376.1653543307089
011d,1380.5905511811025
