code,voltage
01b0,1472.9370078740158
01b1,1475.818897637795
01b2,1481.803149606299
01b3,1487.4645669291335
01b4,1492.1732283464567
01b5,1488.3149606299212
01b6,1489.0393700787401
01b7,1493.6141732283465
01b8,1501.8503937007874
01b9,1505.464566929134
01ba,1508.2834645669293
01bb,1508.724409448819
01bc,1515.2834645669293
01bd,1512.7165354330707
01be,1523.1811023622047
01bf,1526.2362204724411
01c0,1525.6692913385828
01c1,1529.0393700787404
01c2,1532.7795275590552
01c3,1547.3228346456694
01c4,1541.0708661417325
01c5,1548.456692913386
01c6,1549.763779527559
01c7,1556.2362204724411
01c8,1557.5511811023625
01c9,1561.708661417323
01ca,1564.9842519685042
01cb,1568.0551181102364
01cc,1570.1496062992126
01cd,1582.2992125984254
01ce,1584.6929133858266
01cf,1586.4173228346458
01d0,1590.755905511811
01d1,1584.9921259842522
01d2,1594.8503937007877
01d3,1591.456692913386
01d4,1595.2519685039372
01d5,1600.472440944882
01d6,1606.740157480315
01d7,1614.3858267716537
01d8,1615.6456692913387
01d9,1616.2440944881891
01da,1614.7716535433074
01db,1617.181102362205
01dc,1626.7480314960633
01dd,1630.5748031496066
01de,1630.4488188976381
01df,1635.952755905512
01e0,1638.708661417323
01e1,1634.7952755905512
01e2,1643.8582677165355
01e3,1653.8897637795276
01e4,1654.5984251968507
01e5,1661.6062992125987
01e6,1661.5118110236222
01e7,1663.8346456692916
01e8,1666.0787401574805
01e9,1675.992125984252
01ea,1677.6062992125987
01eb,1671.850393700788
01ec,1674.3858267716537
01ed,1684.7480314960628
01ee,1692.8425196850396
01ef,1689.8976377952754
01f0,1703.8582677165355
01f1,1704.5669291338586
01f2,1705.0157480314963
01f3,1705.511811023622
01f4,1712.4409448818897
01f5,1710.3937007874013
01f6,1713.881889763779
01f7,1719.6220472440943
01f8,1719.5511811023623
01f9,1728.1259842519685
01fa,1725.5748031496064
01fb,1735.7480314960628
01fc,1734.0866141732279
01fd,1737.881889763779
01fe,1742.7086614173227
01ff,1748.9606299212594
0200,1746.314960629921
0201,1750.2283464566924
0202,1760.866141732283
0203,1765.7559055118106
0204,1762.2125984251961
0205,1765.2440944881887
0206,1768.7795275590547
0207,1775.8267716535427
0208,1781.2047244094483
0209,1778.7086614173227
020a,1778.6692913385823
020b,1788.4015748031493
020c,1789.2204724409446
020d,1794.188976377952
020e,1799.6141732283459
020f,1798.1732283464562
0210,1797.4409448818897
0211,1810.866141732283
0212,1814.5984251968503
0213,1815.5039370078734
0214,1817.2834645669288
0215,1819.9763779527552
0216,1825.0866141732279
0217,1830.7480314960628
0218,1834.1259842519682
0219,1842.7165354330712
021a,1848.6299212598421
021b,1845.8267716535433
021c,1844.1496062992126
021d,1850.724409448819
021e,1847.3700787401576
021f,1864.0
0220,1856.5433070866138
0221,1859.8582677165355
0222,1868.456692913386
0223,1867.2283464566926
0224,1876.3779527559057
0225,1876.6692913385823
0226,1879.6850393700786
0227,1881.1259842519685
0228,1882.811023622047
0229,1891.503937007874
022a,1890.6456692913384
022b,1896.6062992125985
022c,1903.5275590551182
022d,1908.0314960629921
022e,1901.7716535433074
022f,1907.8661417322837
0230,1916.488188976378
0231,1916.188976377953
0232,1926.1338582677163
0233,1932.0944881889768
0234,1929.204724409449
0235,1933.220472440945
0236,1931.543307086614
0237,1944.8503937007874
0238,1941.346456692913
0239,1951.0
023a,1948.2913385826773
023b,1950.3070866141736
023c,1961.8740157480315
023d,1961.3858267716535
023e,1965.535433070866
023f,1968.8582677165355
0240,1974.3307086614177
0241,1975.1023622047246
0242,1976.0551181102362
0243,1980.535433070866
0244,1986.1102362204724
0245,1984.6456692913387
0246,1993.2677165354335
0247,1990.724409448819
0248,1996.740157480315
0249,2004.5275590551182
024a,2006.3622047244094
024b,2006.9842519685037
024c,2011.582677165354
024d,2022.5196850393702
024e,2018.511811023622
024f,2021.3228346456692
0250,2026.5196850393702
0251,2030.244094488189
0252,2034.9685039370083
0253,2036.6377952755906
0254,2040.5748031496064
0255,2050.307086614173
0256,2044.8503937007874
0257,2049.322834645669
0258,2047.511811023622
0259,2057.023622047244
025a,2061.5984251968503
025b,2059.622047244094
025c,2070.7322834645665
025d,2073.44094488189
025e,2077.7086614173227
025f,2079.834645669291
0260,2079.472440944882
0261,2085.834645669291
0262,2086.7322834645665
0263,2093.8582677165355
0264,2095.7952755905512
0265,2096.606299212598
0266,2096.606299212598
0267,2097.551181102362
0268,2113.5984251968507
0269,2110.307086614173
026a,2110.149606299213
026b,2113.9291338582675
026c,2124.267716535433
026d,2127.7952755905512
026e,2130.3464566929138
026f,2137.307086614174
0270,2137.1732283464567
0271,2136.4015748031497
0272,2142.622047244094
0273,2144.433070866142
0274,2146.787401574803
0275,2153.8346456692916
0276,2159.1889763779527
0277,2155.4330708661423
0278,2162.44094488189
0279,2168.015748031496
027a,2166.0314960629926
027b,2167.4251968503936
027c,2179.3858267716537
027d,2179.9370078740158
027e,2178.88188976378
027f,2181.7952755905512
0280,2191.645669291339
0281,2190.992125984252
0282,2194.448818897638
0283,2204.0078740157487
0284,2199.40157480315
0285,2205.8188976377955
0286,2202.094488188977
0287,2205.645669291339
0288,2214.3149606299216
0289,2209.338582677166
028a,2216.385826771654
028b,2214.48031496063
028c,2228.559055118111
028d,2231.669291338583
028e,2237.4724409448827
028f,2236.8188976377955
0290,2246.070866141733
0291,2244.32283464567
0292,2247.8031496063
0293,2243.133858267717
0294,2250.425196850394
0295,2263.3307086614177
0296,2259.0314960629926
0297,2264.7795275590556
0298,2261.1968503937014
0299,2269.456692913386
029a,2270.889763779528
029b,2276.1181102362207
029c,2281.039370078741
029d,2281.6850393700793
029e,2289.5118110236226
029f,2292.0787401574808
02a0,2293.212598425197
02a1,2299.92125984252
02a2,2300.944881889764
02a3,2301.7007874015753
02a4,2302.976377952756
02a5,2308.48031496063
02a6,2312.866141732284
02a7,2319.6535433070867
02a8,2320.9685039370083
02a9,2326.0787401574808
02aa,2329.0551181102364
02ab,2332.1181102362207
02ac,2338.251968503937
02ad,2345.1338582677167
02ae,2335.5669291338586
02af,2351.6220472440946
02b0,2349.8188976377955
02b1,2350.8188976377955
02b2,2361.5433070866147
02b3,2356.51968503937
02b4,2356.204724409449
02b5,2363.944881889764
02b6,2368.7716535433074
02b7,2374.3858267716537
02b8,2373.527559055118
02b9,2378.251968503937
02ba,2382.5196850393704
02bb,2386.0314960629926
02bc,2392.976377952756
02bd,2399.716535433071
02be,2393.283464566929
02bf,2401.0629921259842
02c0,2401.4330708661414
02c1,2408.8031496062995
02c2,2407.047244094488
02c3,2416.6299212598424
02c4,2415.9055118110236
02c5,2419.3385826771655
02c6,2423.456692913386
02c7,2428.1417322834645
02c8,2426.763779527559
02c9,2431.84251968504
02ca,2436.6141732283468
02cb,2439.897637795276
02cc,2439.5590551181103
02cd,2442.5039370078744
02ce,2453.133858267717
02cf,2445.204724409449
02d0,2456.141732283465
02d1,2456.8267716535433
02d2,2457.2755905511813
02d3,2465.8976377952754
02d4,2463.4960629921266
02d5,2468.488188976378
02d6,2474.5590551181103
02d7,2481.0393700787404
02d8,2483.464566929134
02d9,2488.929133858268
02da,2492.0236220472443
02db,2494.692913385827
02dc,2494.606299212599
02dd,2501.606299212599
02de,2495.5433070866147
02df,2508.7401574803152
02e0,2515.559055118111
02e1,2515.2204724409453
